2019-03-31 21:22:50,678 : INFO : PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
2019-03-31 21:53:34,224 : INFO : EPOCH 1 - PROGRESS: at 3.97% examples, 47132 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:36,223 : INFO : EPOCH 1 - PROGRESS: at 4.12% examples, 48298 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:38,508 : INFO : EPOCH 1 - PROGRESS: at 4.17% examples, 48056 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:39,637 : INFO : EPOCH 1 - PROGRESS: at 4.19% examples, 47889 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:41,498 : INFO : EPOCH 1 - PROGRESS: at 4.23% examples, 47587 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:42,523 : INFO : EPOCH 1 - PROGRESS: at 4.36% examples, 48523 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:43,592 : INFO : EPOCH 1 - PROGRESS: at 4.45% examples, 48999 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:45,581 : INFO : EPOCH 1 - PROGRESS: at 4.47% examples, 48534 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:47,546 : INFO : EPOCH 1 - PROGRESS: at 4.50% examples, 48036 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:48,820 : INFO : EPOCH 1 - PROGRESS: at 4.62% examples, 48612 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:50,117 : INFO : EPOCH 1 - PROGRESS: at 4.67% examples, 48695 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:51,426 : INFO : EPOCH 1 - PROGRESS: at 4.76% examples, 49122 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:55,490 : INFO : EPOCH 1 - PROGRESS: at 4.77% examples, 47790 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:53:58,817 : INFO : EPOCH 1 - PROGRESS: at 4.85% examples, 47588 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:54:00,100 : INFO : EPOCH 1 - PROGRESS: at 5.05% examples, 49265 words/s, in_qsize 2, out_qsize 0
2019-03-31 21:54:03,009 : INFO : EPOCH 1 - PROGRESS: at 5.09% examples, 48806 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:04,889 : INFO : EPOCH 1 - PROGRESS: at 5.12% examples, 48523 words/s, in_qsize 1, out_qsize 0
2019-03-31 21:54:05,913 : INFO : EPOCH 1 - PROGRESS: at 5.17% examples, 48806 words/s, in_qsize 0, out_qsize 0
2019-03-31 21:54:08,484 : INFO : EPOCH 1 - PROGRESS: at 5.26% examples, 48849 words/s, in_qsize 0, out_qsize 0
