2019-04-02 18:36:05,547 : INFO : loading trainables recursively from models/enwiki-full-dict-99999.model.trainables.* with mmap=None
2019-04-02 18:36:05,556 : INFO : loading syn1neg from models/enwiki-full-dict-99999.model.trainables.syn1neg.npy with mmap=None
2019-04-02 18:36:06,635 : INFO : loading vocabulary recursively from models/enwiki-full-dict-99999.model.vocabulary.* with mmap=None
2019-04-02 18:36:06,642 : INFO : loading wv recursively from models/enwiki-full-dict-99999.model.wv.* with mmap=None
2019-04-02 18:36:06,649 : INFO : loading vectors from models/enwiki-full-dict-99999.model.wv.vectors.npy with mmap=None
2019-04-02 18:36:07,652 : INFO : setting ignored attribute vectors_norm to None
2019-04-02 18:36:07,654 : INFO : setting ignored attribute cum_table to None
2019-04-02 18:36:07,655 : INFO : loaded models/enwiki-full-dict-99999.model
2019-04-02 18:36:10,654 : WARNING : Effective 'alpha' higher than previous training cycles
2019-04-02 18:36:10,656 : INFO : training model with 10 workers on 1343016 vocabulary and 300 features, using sg=0 hs=0 sample=0.001 negative=5 window=5
2019-04-02 18:37:43,090 : INFO : EPOCH 1 - PROGRESS: at 7.40% examples, 42777 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:46,115 : INFO : EPOCH 1 - PROGRESS: at 7.59% examples, 42808 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:47,218 : INFO : EPOCH 1 - PROGRESS: at 7.68% examples, 43284 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:48,399 : INFO : EPOCH 1 - PROGRESS: at 7.69% examples, 42929 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:49,497 : INFO : EPOCH 1 - PROGRESS: at 7.81% examples, 43273 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:51,213 : INFO : EPOCH 1 - PROGRESS: at 7.91% examples, 43609 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:54,039 : INFO : EPOCH 1 - PROGRESS: at 7.92% examples, 42502 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:37:55,798 : INFO : EPOCH 1 - PROGRESS: at 7.97% examples, 42093 words/s, in_qsize 2, out_qsize 0
2019-04-02 18:37:57,140 : INFO : EPOCH 1 - PROGRESS: at 8.06% examples, 42608 words/s, in_qsize 3, out_qsize 0
2019-04-02 18:37:59,713 : INFO : EPOCH 1 - PROGRESS: at 8.19% examples, 42837 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:00,787 : INFO : EPOCH 1 - PROGRESS: at 8.24% examples, 42863 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:02,206 : INFO : EPOCH 1 - PROGRESS: at 8.33% examples, 43208 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:03,298 : INFO : EPOCH 1 - PROGRESS: at 8.41% examples, 43482 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:08,005 : INFO : EPOCH 1 - PROGRESS: at 8.51% examples, 42263 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:09,658 : INFO : EPOCH 1 - PROGRESS: at 8.69% examples, 43156 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:11,280 : INFO : EPOCH 1 - PROGRESS: at 8.73% examples, 42726 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:12,362 : INFO : EPOCH 1 - PROGRESS: at 8.89% examples, 43452 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:14,127 : INFO : EPOCH 1 - PROGRESS: at 8.93% examples, 43162 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:16,147 : INFO : EPOCH 1 - PROGRESS: at 8.94% examples, 42536 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:17,493 : INFO : EPOCH 1 - PROGRESS: at 8.95% examples, 42186 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:18,789 : INFO : EPOCH 1 - PROGRESS: at 9.17% examples, 43615 words/s, in_qsize 0, out_qsize 0
2019-04-02 18:38:21,182 : INFO : EPOCH 1 - PROGRESS: at 9.20% examples, 43080 words/s, in_qsize 0, out_qsize 0
